Raw Data 		Experiment - ProteinMelting_T4Lstar (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-580	
A1	T4L wt 8uM	1	2	1	26450	20.01	6.94
A1	T4L wt 8uM	1	2	1	26950	20.01	6.99
A1	T4L wt 8uM	1	2	1	27450	20.16	6.97
A1	T4L wt 8uM	1	2	1	27950	20.32	7.00
A1	T4L wt 8uM	1	2	1	28450	20.4	6.96
A1	T4L wt 8uM	1	2	1	28967	20.54	6.96
A1	T4L wt 8uM	1	2	1	29466	20.69	6.97
A1	T4L wt 8uM	1	2	1	29983	20.77	6.97
A1	T4L wt 8uM	1	2	1	30483	20.93	6.97
A1	T4L wt 8uM	1	2	1	30983	20.93	7.00
A1	T4L wt 8uM	1	2	1	31483	21.08	6.98
A1	T4L wt 8uM	1	2	1	32000	21.16	6.99
A1	T4L wt 8uM	1	2	1	32500	21.23	6.98
A1	T4L wt 8uM	1	2	1	33000	21.37	6.98
A1	T4L wt 8uM	1	2	1	33516	21.45	6.95
A1	T4L wt 8uM	1	2	1	34016	21.53	6.96
A1	T4L wt 8uM	1	2	1	34516	21.68	6.95
A1	T4L wt 8uM	1	2	1	35016	21.76	6.93
A1	T4L wt 8uM	1	2	1	35516	21.9	6.98
A1	T4L wt 8uM	1	2	1	36016	21.97	6.97
A1	T4L wt 8uM	1	2	1	36533	22.04	6.97
A1	T4L wt 8uM	1	2	1	37033	22.19	6.98
A1	T4L wt 8uM	1	2	1	37533	22.26	6.97
A1	T4L wt 8uM	1	2	1	38033	22.34	6.96
A1	T4L wt 8uM	1	2	1	38533	22.41	6.94
A1	T4L wt 8uM	1	2	1	39033	22.55	6.96
A1	T4L wt 8uM	1	2	1	39533	22.69	6.96
A1	T4L wt 8uM	1	2	1	40033	22.76	6.98
A1	T4L wt 8uM	1	2	1	40550	22.83	6.96
A1	T4L wt 8uM	1	2	1	41050	22.9	6.99
A1	T4L wt 8uM	1	2	1	41550	23.05	6.96
A1	T4L wt 8uM	1	2	1	42050	23.12	6.94
A1	T4L wt 8uM	1	2	1	42550	23.19	6.94
A1	T4L wt 8uM	1	2	1	43050	23.34	6.96
A1	T4L wt 8uM	1	2	1	43550	23.41	6.97
A1	T4L wt 8uM	1	2	1	44050	23.53	6.97
A1	T4L wt 8uM	1	2	1	44566	23.6	6.95
A1	T4L wt 8uM	1	2	1	45066	23.68	6.95
A1	T4L wt 8uM	1	2	1	45566	23.81	6.98
A1	T4L wt 8uM	1	2	1	46066	23.88	6.96
A1	T4L wt 8uM	1	2	1	46583	24.03	6.97
A1	T4L wt 8uM	1	2	1	47083	24.09	6.93
A1	T4L wt 8uM	1	2	1	47583	24.16	6.96
A1	T4L wt 8uM	1	2	1	48083	24.29	6.96
A1	T4L wt 8uM	1	2	1	48600	24.36	6.97
A1	T4L wt 8uM	1	2	1	49100	24.43	6.97
A1	T4L wt 8uM	1	2	1	49600	24.56	6.97
A1	T4L wt 8uM	1	2	1	50100	24.63	6.96
A1	T4L wt 8uM	1	2	1	50600	24.77	6.99
A1	T4L wt 8uM	1	2	1	51100	24.9	6.98
A1	T4L wt 8uM	1	2	1	51600	24.96	6.99
A1	T4L wt 8uM	1	2	1	52116	25.03	6.96
A1	T4L wt 8uM	1	2	1	52616	25.23	6.95
A1	T4L wt 8uM	1	2	1	53116	25.29	6.95
A1	T4L wt 8uM	1	2	1	53633	25.36	6.94
A1	T4L wt 8uM	1	2	1	54150	25.49	6.98
A1	T4L wt 8uM	1	2	1	54650	25.56	6.98
A1	T4L wt 8uM	1	2	1	55150	25.68	6.96
A1	T4L wt 8uM	1	2	1	55666	25.75	6.99
A1	T4L wt 8uM	1	2	1	56166	25.87	6.99
A1	T4L wt 8uM	1	2	1	56666	26.01	6.95
A1	T4L wt 8uM	1	2	1	57166	26.07	7.02
A1	T4L wt 8uM	1	2	1	57683	26.2	7.01
A1	T4L wt 8uM	1	2	1	58183	26.33	6.98
A1	T4L wt 8uM	1	2	1	58700	26.4	6.99
A1	T4L wt 8uM	1	2	1	59200	26.45	7.03
A1	T4L wt 8uM	1	2	1	59700	26.64	6.96
A1	T4L wt 8uM	1	2	1	60216	26.77	7.01
A1	T4L wt 8uM	1	2	1	60716	26.83	6.98
A1	T4L wt 8uM	1	2	1	61216	26.95	6.98
A1	T4L wt 8uM	1	2	1	61716	27.02	6.99
A1	T4L wt 8uM	1	2	1	62233	27.15	6.98
A1	T4L wt 8uM	1	2	1	62733	27.26	7.03
A1	T4L wt 8uM	1	2	1	63233	27.33	7.01
A1	T4L wt 8uM	1	2	1	63733	27.39	7.01
A1	T4L wt 8uM	1	2	1	64250	27.51	7.01
A1	T4L wt 8uM	1	2	1	64750	27.63	7.01
A1	T4L wt 8uM	1	2	1	65250	27.76	7.00
A1	T4L wt 8uM	1	2	1	65750	27.88	7.02
A1	T4L wt 8uM	1	2	1	66250	27.94	7.01
A1	T4L wt 8uM	1	2	1	66750	28.05	6.99
A1	T4L wt 8uM	1	2	1	67266	28.17	7.00
A1	T4L wt 8uM	1	2	1	67766	28.3	7.03
A1	T4L wt 8uM	1	2	1	68266	28.36	7.00
A1	T4L wt 8uM	1	2	1	68783	28.48	7.00
A1	T4L wt 8uM	1	2	1	69283	28.53	7.02
A1	T4L wt 8uM	1	2	1	69783	28.65	7.00
A1	T4L wt 8uM	1	2	1	70283	28.77	7.02
A1	T4L wt 8uM	1	2	1	70783	28.88	7.01
A1	T4L wt 8uM	1	2	1	71283	28.95	7.01
A1	T4L wt 8uM	1	2	1	71800	29	7.01
A1	T4L wt 8uM	1	2	1	72300	29.18	6.99
A1	T4L wt 8uM	1	2	1	72816	29.3	6.98
A1	T4L wt 8uM	1	2	1	73316	29.36	6.98
A1	T4L wt 8uM	1	2	1	73816	29.4	7.01
A1	T4L wt 8uM	1	2	1	74333	29.53	7.02
A1	T4L wt 8uM	1	2	1	74833	29.7	6.99
A1	T4L wt 8uM	1	2	1	75333	29.76	6.96
A1	T4L wt 8uM	1	2	1	75833	29.88	6.98
A1	T4L wt 8uM	1	2	1	76350	29.93	6.98
A1	T4L wt 8uM	1	2	1	76850	30.05	6.97
A1	T4L wt 8uM	1	2	1	77366	30.21	6.96
A1	T4L wt 8uM	1	2	1	77850	30.32	6.96
A1	T4L wt 8uM	1	2	1	78366	30.44	6.96
A1	T4L wt 8uM	1	2	1	78883	30.44	6.96
A1	T4L wt 8uM	1	2	1	79383	30.55	7.01
A1	T4L wt 8uM	1	2	1	79883	30.66	6.97
A1	T4L wt 8uM	1	2	1	80383	30.77	6.98
A1	T4L wt 8uM	1	2	1	80900	30.87	6.95
A1	T4L wt 8uM	1	2	1	81400	30.99	6.97
A1	T4L wt 8uM	1	2	1	81900	31.1	6.96
A1	T4L wt 8uM	1	2	1	82400	31.21	6.95
A1	T4L wt 8uM	1	2	1	82916	31.27	6.95
A1	T4L wt 8uM	1	2	1	83433	31.38	6.94
A1	T4L wt 8uM	1	2	1	83916	31.49	6.97
A1	T4L wt 8uM	1	2	1	84433	31.59	6.95
A1	T4L wt 8uM	1	2	1	84933	31.7	6.94
A1	T4L wt 8uM	1	2	1	85433	31.81	6.92
A1	T4L wt 8uM	1	2	1	85933	31.92	6.94
A1	T4L wt 8uM	1	2	1	86433	31.97	6.94
A1	T4L wt 8uM	1	2	1	86933	32.13	6.93
A1	T4L wt 8uM	1	2	1	87450	32.24	6.89
A1	T4L wt 8uM	1	2	1	87967	32.3	6.94
A1	T4L wt 8uM	1	2	1	88466	32.39	6.95
A1	T4L wt 8uM	1	2	1	88967	32.5	6.92
A1	T4L wt 8uM	1	2	1	89466	32.61	6.91
A1	T4L wt 8uM	1	2	1	89983	32.72	6.91
A1	T4L wt 8uM	1	2	1	90483	32.77	6.89
A1	T4L wt 8uM	1	2	1	90983	32.87	6.89
A1	T4L wt 8uM	1	2	1	91483	32.98	6.89
A1	T4L wt 8uM	1	2	1	92000	33.07	6.87
A1	T4L wt 8uM	1	2	1	92500	33.19	6.89
A1	T4L wt 8uM	1	2	1	93000	33.29	6.87
A1	T4L wt 8uM	1	2	1	93516	33.39	6.90
A1	T4L wt 8uM	1	2	1	94016	33.49	6.87
A1	T4L wt 8uM	1	2	1	94533	33.6	6.86
A1	T4L wt 8uM	1	2	1	95050	33.7	6.89
A1	T4L wt 8uM	1	2	1	95550	33.79	6.91
A1	T4L wt 8uM	1	2	1	96050	33.9	6.89
A1	T4L wt 8uM	1	2	1	96550	34	6.85
A1	T4L wt 8uM	1	2	1	97066	34.1	6.87
A1	T4L wt 8uM	1	2	1	97566	34.21	6.87
A1	T4L wt 8uM	1	2	1	98066	34.31	6.86
A1	T4L wt 8uM	1	2	1	98566	34.41	6.86
A1	T4L wt 8uM	1	2	1	99083	34.47	6.88
A1	T4L wt 8uM	1	2	1	99600	34.56	6.83
A1	T4L wt 8uM	1	2	1	100100	34.7	6.88
A1	T4L wt 8uM	1	2	1	100600	34.81	6.86
A1	T4L wt 8uM	1	2	1	101100	34.91	6.83
A1	T4L wt 8uM	1	2	1	101616	35.01	6.85
A1	T4L wt 8uM	1	2	1	102116	35.11	6.83
A1	T4L wt 8uM	1	2	1	102616	35.21	6.87
A1	T4L wt 8uM	1	2	1	103116	35.34	6.86
A1	T4L wt 8uM	1	2	1	103633	35.4	6.81
A1	T4L wt 8uM	1	2	1	104133	35.5	6.82
A1	T4L wt 8uM	1	2	1	104633	35.59	6.85
A1	T4L wt 8uM	1	2	1	105150	35.7	6.85
A1	T4L wt 8uM	1	2	1	105650	35.84	6.86
